Country;Economic status1;Coastal population2;Waste generation rate [kg/person/day]3;% Plastic in waste stream4;% Inadequately managed waste5;% Littered waste6;Waste generation [kg/day]7;Plastic waste generation [kg/day]7;Inadequately managed plastic waste [kg/day]7;"Plastic waste littered
 [kg/day]7";Mismanaged plastic waste [kg/person/day]7;"Mismanaged plastic waste in 2010
 [tonnes]7";"Mismanaged plastic waste in 2025
 [tonnes]7";Per capita plastic waste (kilograms per person per day)
Denmark;HIC;5.376.386;2.34;2;0;2;12.580.743;245.324;0;4.906;1,000;1.791;4.233;47
Djibouti;LMI;621.744;0.79;13;73;2;491.178;63.608;46.191;1.272;76,000;17.324;45.612;103
Dominica;UMI;70.138;1.24;12;19;2;86.971;10.393;1.938;208;31,000;783;1.428;149
Dominican Republic8;UMI;8.232.586;1.2;12;25;2;9.879.103;1.180.553;300.295;23.611;39,000;118.226;228.671;144
Ecuador;LMI;6.400.048;1.13;13;30;2;7.232.054;936.551;280.948;18.731;47,000;109.383;211.021;147
Egypt;LMI;21.750.943;1.37;13;67;2;29.798.792;3.858.944;2.572.170;77.179;122,000;967.012;1.937.428;178
El Salvador;LMI;6.410.726;1.13;13;33;2;7.244.120;938.114;306.531;18.762;51,000;118.732;226.860;147
Equatorial Guinea;UMI;351.600;1.2;12;30;2;421.920;50.419;15.367;1.008;47,000;5.977;14.124;144
Eritrea;LI;1.266.222;0.5;9;77;2;633.111;56.663;43.411;1.133;35,000;16.259;43.484;45
Estonia;HIC;878.021;1.47;12;9;2;1.290.691;154.238;13.296;3.085;19,000;5.979;8.367;176
Falkland Islands;HIC;2.602;2.1;12;0;2;5.464;653;0;13;5,000;5;7;252
Faroe Islands;HIC;50.554;2.1;12;0;2;106.163;12.687;0;254;5,000;93;131;252
Fiji;UMI;896.145;2.1;9;78;2;1.881.905;168.430;131.582;3.369;151,000;49.257;70.995;189
Finland;HIC;2.927.674;2.13;11;0;2;6.235.946;682.836;0;13.657;5,000;4.985;6.422;234
France;HIC;17.287.280;1.92;10;0;2;33.191.578;3.302.562;0;66.051;4,000;24.109;34.671;192
French Guiana;UMI;167.631;1.2;12;25;2;201.157;24.038;5.986;481;39,000;2.360;5.577;144
French Polynesia;HIC;270.618;2.1;12;3;2;568.298;67.912;2.165;1.358;13,000;1.286;1.824;252
Gabon;UMI;862.328;0.45;12;34;2;388.048;46.372;15.750;927;19,000;6.087;15.446;54
Georgia;LMI;1.124.249;1.69;4;51;2;1.899.981;75.049;38.149;1.501;35,000;14.472;24.532;68
Germany;HIC;8.837.035;2.11;23;0;2;18.646.144;4.279.290;0;85.586;10,000;31.239;33.317;485
Ghana;LMI;7.727.702;0.79;5;81;2;6.104.885;302.192;244.835;6.044;32,000;91.571;325.116;0.04
Gibraltar;HIC;33.483;2.1;12;0;2;70.314;8.403;9;168;5,000;65;92;252
Greece;HIC;9.794.702;2;10;0;2;19.589.404;1.949.146;0;38.983;4,000;14.229;18.621;0.2
Greenland;HIC;57.068;2.1;12;0;2;119.843;14.321;0;286;5,000;105;148;252
Grenada;UMI;96.121;2.71;12;18;2;260.488;31.128;5.536;623;64,000;2.248;2.452;325
Guadeloupe;UMI;466.166;1.2;12;25;2;559.399;66.848;16.646;1.337;39,000;6.564;11.502;144
Guam;HIC;190.809;2.1;12;0;2;400.699;47.884;118;958;6,000;393;574;252
Guatemala;LMI;2.392.442;2;14;36;2;4.784.884;667.491;237.508;13.350;105,000;91.563;157.698;0.28
Guernsey;HIC;56.289;2.1;12;0;2;118.207;14.126;0;283;5,000;103;146;252
Guinea;LI;1.996.496;0.6;5;84;2;1.197.898;59.296;49.538;1.186;25,000;18.514;59.889;0.03
Guinea-Bissau;LI;1.208.106;0.6;9;83;2;724.864;64.875;54.156;1.298;46,000;20.240;51.947;54
Guyana;LMI;513.235;5.33;11;36;2;2.735.543;299.542;109.084;5.991;224,000;42.002;36.103;586
Haiti;LI;9.155.693;1;9;47;2;9.155.693;819.435;387.416;16.389;44,000;147.389;324.178;0.09
Honduras;LMI;3.324.144;1.45;13;40;2;4.820.009;624.191;249.539;12.484;79,000;95.638;189.169;189
Hong Kong;HIC;7.573.074;1.99;20;1;2;15.070.417;3.006.548;17.983;60.131;10,000;28.512;37.606;398
Iceland;HIC;292.708;1.56;18;0;2;456.624;81.964;0;1.639;6,000;598;883;281
